"filename", "language", "Aoe2 AiScript", "comment", "blank", "total"
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Infantry\Attack.per", "Aoe2 AiScript", 30, 0, 3, 33
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Infantry\Buildings.per", "Aoe2 AiScript", 199, 15, 37, 251
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Infantry\Market.per", "Aoe2 AiScript", 59, 1, 11, 71
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Infantry\Research.per", "Aoe2 AiScript", 837, 29, 136, 1002
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Infantry\Units.per", "Aoe2 AiScript", 187, 3, 28, 218
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Infantry\Villager Distribution.per", "Aoe2 AiScript", 213, 0, 27, 240
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Knights\Attack-now.per", "Aoe2 AiScript", 27, 0, 2, 29
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Knights\Attack.per", "Aoe2 AiScript", 24, 0, 2, 26
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Knights\Buildings.per", "Aoe2 AiScript", 238, 16, 42, 296
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Knights\Market.per", "Aoe2 AiScript", 59, 1, 11, 71
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Knights\Research.per", "Aoe2 AiScript", 789, 30, 132, 951
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Knights\Units.per", "Aoe2 AiScript", 191, 3, 29, 223
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Knights\Villager Distribution.per", "Aoe2 AiScript", 213, 0, 27, 240
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Monks and Siege\Attack-now.per", "Aoe2 AiScript", 35, 0, 3, 38
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Monks and Siege\Attack.per", "Aoe2 AiScript", 30, 0, 3, 33
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Monks and Siege\Buildings.per", "Aoe2 AiScript", 194, 14, 35, 243
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Monks and Siege\Market.per", "Aoe2 AiScript", 74, 1, 13, 88
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Monks and Siege\Research.per", "Aoe2 AiScript", 721, 25, 119, 865
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Monks and Siege\Units.per", "Aoe2 AiScript", 188, 3, 28, 219
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Monks and Siege\Villager Distribution.per", "Aoe2 AiScript", 213, 0, 27, 240
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Trash and Siege\Attack-now.per", "Aoe2 AiScript", 27, 0, 2, 29
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Trash and Siege\Attack.per", "Aoe2 AiScript", 30, 0, 3, 33
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Trash and Siege\Buildings.per", "Aoe2 AiScript", 220, 16, 40, 276
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Trash and Siege\Market.per", "Aoe2 AiScript", 59, 1, 11, 71
